numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCAZA26166	SC13987	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Cuaque	ECUADOR: Manabí: Vía a Pedernales.  Altitud: 163msnm - Latitud: -,10370000000000000051 Longitud: -79,622466666666696256 Información Ecológica: Bosque secundario	Indeterminada	15	15	Desconocido	-0.021260	-80.06893		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26167	SC13988	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Cuaque	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Indeterminada	15	15	Desconocido	-0.021260	-80.06893		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26168	SC13989	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Cuaque	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Indeterminada	15	15	Desconocido	-0.021260	-80.06893		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26169	SC13990	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Cuaque	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: -1,7177222222222199299 Longitud: -78,977972222222206256 Información Ecológica: Quebrada cerca al río. Bosque secundario	Indeterminada	15	15	Desconocido	-0.021260	-80.06893		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26170	SC13991	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Cuaque	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Indeterminada	15	15	Desconocido	-0.021260	-80.06893		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26171	SC13992	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Cuaque	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Indeterminada	15	15	Desconocido	-0.021260	-80.06893		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26172	SC13993	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Cuaque	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Indeterminada	15	15	Desconocido	-0.021260	-80.06893		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26173	SC13994	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Cuaque	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Indeterminada	15	15	Desconocido	-0.021260	-80.06893		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26174	SC13995	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Cuaque	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Indeterminada	15	15	Desconocido	-0.021260	-80.06893		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26175	SC13996	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Cuaque	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Indeterminada	15	15	Desconocido	-0.021260	-80.06893		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26176		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26177		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26178		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26179		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26180		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26181		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26182		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26183		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26184		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26185		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26186		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: -1,7177222222222199299 Longitud: -78,974194444444393071 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26187		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26188		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26189		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,0719333333333334046 Longitud: -78,650716666666696142 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26190		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: -1,0719333333333334046 Longitud: -78,650716666666696142 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26191		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: 1,0719333333333334046 Longitud: -78,650716666666696142 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26192		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Río Ayampe 	ECUADOR: Manabí: Río Ayampe.  Altitud: 31msnm - Latitud: -1,7177222222222199299 Longitud: -78,977972222222206256 Información Ecológica: Quebrada cerca al río. Bosque secundario	Coordenadas Modificadas	31	31	WGS 84	-1.673243	-80.80935		2003-12-23T00:00:00	2003-12-23T00:00:00					Juan Carlos Santos 		0			
QCAZA26193		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26194		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26195		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26196		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26197		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26198		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26199		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26200		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26201		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26202		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26203		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26204		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26205		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	Indeterminado		Ecuador	Pichincha	Desconocido	Desconocido	Mindo	ECUADOR: Pichincha: Mindo. E. spf Altitud: 1263msnm - Latitud: 1,031944444444444553 Longitud: -78,598333333333300743 Información Ecológica: Pastizal	Coordenadas Modificadas	1263	1263	WGS 84	-0.05067	-78.77187	sp.	2004-01-10T00:00:00	2004-01-10T00:00:00					Juan Carlos Santos 		0			
QCAZA26235	SC14075	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	nexipus		Ecuador	Morona Santiago	Desconocido	Desconocido	1 km norte de Méndez, vía a Macas 	ECUADOR: Morona Santiago: Entre Mendez y Limón. Colección por la mañana.  Latitud: -2,7918799999999999173 Longitud: -78,344120000000003756 Información Ecológica: En arroyo.	Indeterminada			Desconocido	-2.791879	-78.34412		2004-01-12T00:00:00	2004-01-12T00:00:00					Santiago Ron		0			
QCAZA26236	SC14076	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	nexipus		Ecuador	Morona Santiago	Desconocido	Desconocido	1 km norte de Méndez, vía a Macas 	ECUADOR: Morona Santiago: Entre Mendez y Limón. Colección por la mañana.  Latitud: -2,7918799999999999173 Longitud: -78,344120000000003756 Información Ecológica: En arroyo.	Indeterminada			Desconocido	-2.791879	-78.34412		2004-01-12T00:00:00	2004-01-12T00:00:00					Santiago Ron		0			
QCAZA26237	SC14061	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	nexipus		Ecuador	Morona Santiago	Desconocido	Desconocido	16 km al norte de Logroño (por la carretera que va a Méndez) Colección durante la noche  Se escondió bajo piedras al ser disturbado En el mismo lugar se observó un individuo (misma especie) con renacuajos en el dorso (no colectado) 	ECUADOR: Morona Santiago: 16Km n Logroño vía Méndez. Colección durante la noche.  Se escondió bajo piedras al ser disturbado. En el mismo lugar se observó un individuo (misma especie) con renacuajos en el dorso (no colectado)  Altitud: 572msnm - Latitud: -2,6805200000000000138 Longitud: -78,238320000000001642 Información Ecológica: Junto al río. 	Indeterminada	572	572	Desconocido	-2.68052	-78.23832		2004-01-11T00:00:00	2004-01-11T00:00:00					Santiago Ron		0			
QCAZA26238	SC14069	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	nexipus		Ecuador	Morona Santiago	Desconocido	Desconocido	1 km norte de Méndez, vía a Macas 	ECUADOR: Morona Santiago: 1Km N de Méndez, vía a Macas.  Altitud: 504msnm - Latitud: -2,723640000000000061 Longitud: -78,313000000000002387 Información Ecológica: En filo de arroyo.	Indeterminada	504	504	Desconocido	-2.723640	-78.31300		2004-01-12T00:00:00	2004-01-12T00:00:00					Santiago Ron		0			
QCAZA26239	SC14074	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	nexipus		Ecuador	Morona Santiago	Desconocido	Desconocido	1 km norte de Méndez, vía a Macas 	ECUADOR: Morona Santiago: Entre Mendez y Limón. Colección por la mañana.  Latitud: -2,7918799999999999173 Longitud: -78,344120000000003756 Información Ecológica: En arroyo.	Indeterminada			Desconocido	-2.791879	-78.34412		2004-01-12T00:00:00	2004-01-12T00:00:00					Santiago Ron		0			
QCAZA26240	SC14070	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	nexipus		Ecuador	Morona Santiago	Desconocido	Desconocido	1 km norte de Méndez, vía a Macas 	ECUADOR: Morona Santiago: 1Km N de Méndez, vía a Macas.  Altitud: 504msnm - Latitud: -2,723640000000000061 Longitud: -78,313000000000002387 Información Ecológica: En filo de arroyo.	Indeterminada	504	504	Desconocido	-2.723640	-78.31300		2004-01-12T00:00:00	2004-01-12T00:00:00					Santiago Ron		0			
QCAZA26280	SC14071	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	nexipus		Ecuador	Morona Santiago	Desconocido	Desconocido	1 km norte de Méndez, vía a Macas 	ECUADOR: Morona Santiago: 1Km N de Méndez, vía a Macas.  Altitud: 504msnm - Latitud: -2,723640000000000061 Longitud: -78,313000000000002387 Información Ecológica: En agua acumulada en piedra	Indeterminada	504	504	Desconocido	-2.723640	-78.31300		2004-01-12T00:00:00	2004-01-12T00:00:00					Santiago Ron	2009-04-20T00:00:00	0			
QCAZA26281	SC14077	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	nexipus		Ecuador	Morona Santiago	Desconocido	Desconocido	1 km norte de Méndez, vía a Macas  Colección por la mañana Larvas estaban siendo cargadas por sc 14075	ECUADOR: Morona Santiago: Entre Mendez y Limón. Colección por la mañana. Larvas estaban siendo cargadas por sc 14075  Latitud: -2,7918799999999999173 Longitud: -78,344120000000003756 Información Ecológica: En lecho de arroyo.	Indeterminada			Desconocido	-2.791879	-78.34412		2004-01-12T00:00:00	2004-01-12T00:00:00					Santiago Ron	2009-04-20T00:00:00	0			
QCAZA2635		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	infraguttatus		Ecuador	Guayas	Desconocido	Desconocido	Bosque Protector Cerro Blanco	ECUADOR: Guayas: Bosque Protector Cerro Blanco.   Latitud: -2,2833333333333301063 Longitud: -80,05 	Indeterminada			Desconocido	-2.283333	-80.05		1991-11-23T00:00:00	1991-11-23T00:00:00					Giovanni Onore	2002-03-02T00:00:00	0			
QCAZA26534	SC10546	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	anthonyi		Ecuador	Azuay	Desconocido	Desconocido	Santa Isabel, frente al hotel "Yunguilla" Adultos y juveniles	ECUADOR: Azuay: Santa Isabel, Santa Isabel, frente al hotel "Yunguilla". Adultos y juveniles Altitud: 1490msnm - Latitud: -3,2848166666666700486 Longitud: -79,310866666666697711 Información Ecológica: En cuneta con agual 	Indeterminada	1490	1490	Desconocido	-3.284816	-79.31086		2003-09-14T00:00:00	2003-09-14T00:00:00					Ítalo Tapia		0			
QCAZA26535	SC10547	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	anthonyi		Ecuador	Azuay	Desconocido	Desconocido	Santa Isabel, frente al hotel "Yunguilla" Adultos y juveniles	ECUADOR: Azuay: Santa Isabel, Santa Isabel, frente al hotel "Yunguilla". Adultos y juveniles Altitud: 1490msnm - Latitud: -3,2848166666666700486 Longitud: -79,310866666666697711 Información Ecológica: En cuneta con agual 	Indeterminada	1490	1490	Desconocido	-3.284816	-79.31086		2003-09-14T00:00:00	2003-09-14T00:00:00					Ítalo Tapia		0			
QCAZA26536	SC10548	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	anthonyi		Ecuador	Azuay	Desconocido	Desconocido	Santa Isabel, frente al hotel "Yunguilla"	ECUADOR: Azuay: Santa Isabel, Santa Isabel, frente al hotel "Yunguilla".  Altitud: 1490msnm - Latitud: -3,2848166666666700486 Longitud: -79,310866666666697711 Información Ecológica: En cuneta con agua. 	Indeterminada	1490	1490	Desconocido	-3.284816	-79.31086		2003-09-14T00:00:00	2003-09-14T00:00:00					Ítalo Tapia		0			
QCAZA26537	SC10549	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	anthonyi		Ecuador	Azuay	Desconocido	Desconocido	Santa Isabel, frente al hotel "Yunguilla" Adultos y juveniles	ECUADOR: Azuay: Santa Isabel, Santa Isabel, frente al hotel "Yunguilla". Adultos y juveniles Altitud: 1490msnm - Latitud: -3,2848166666666700486 Longitud: -79,310866666666697711 Información Ecológica: En cuneta con agual 	Indeterminada	1490	1490	Desconocido	-3.284816	-79.31086		2003-09-14T00:00:00	2003-09-14T00:00:00					Ítalo Tapia		0			
QCAZA26538	SC10550	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	anthonyi		Ecuador	Azuay	Desconocido	Desconocido	Santa Isabel, frente al Hotel Yunguilla	ECUADOR: Azuay: Santa Isabel, Santa Isabel, frente al hotel "Yunguilla". Adultos y juveniles Altitud: 1490msnm - Latitud: -3,2848166666666700486 Longitud: -79,310866666666697711 Información Ecológica: En cuneta con agual 	Indeterminada	1490	1490	Desconocido	-3.284816	-79.31086		2003-09-14T00:00:00	2003-09-14T00:00:00					Ítalo Tapia	2018-03-16T00:00:00	0			
