numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCAZA10118		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Sucre, Cabo Pasado, 5 km de Canoa, vía San Vicente-Pedernales 	ECUADOR: Manabí: Sucre, Cabo Pasado, 5Km de Canoa, Vía San Vicente-Pedernales.  Altitud: 30msnm - 	Georreferenciación	30	30	WGS 84	-0.414486	-80.44833		1996-08-19T00:00:00	1996-08-19T00:00:00					Néstor Acosta	2012-09-21T00:00:00	0			
QCAZA10119		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Sucre, Cabo Pasado, 5 km de Canoa, vía San Vicente-Pedernales	ECUADOR: Manabí: Sucre, Cabo Pasado, 5Km de Canoa, Vía San Vicente-Pedernales.  Altitud: 30msnm - 	Georreferenciación	30	30	WGS 84	-0.414486	-80.44833		1996-08-19T00:00:00	1996-08-19T00:00:00					Néstor Acosta	2012-09-21T00:00:00	0			
QCAZA10122		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Santo Domingo de los Tsáchilas	Desconocido	Desconocido	2 km al sur de Río Toachi 	ECUADOR: Pichincha: 2Km al sur de Rìo Toachi. Colectados como renacuajos y criados en cautiverio. Altitud: 1400msnm - 	Georreferenciación	1400	1400	WGS 84	-0.316593	-78.94996000000003		1996-01-28T00:00:00	1996-01-28T00:00:00					Néstor Acosta		0			
QCAZA10142		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Esmeraldas	Desconocido	Desconocido	Viche 	ECUADOR: Esmeraldas: Viche. Mantenido en cautiverio terrario 33 Altitud: 100msnm - 	Georreferenciación	100	100	WGS 84	0.6615180	-79.53874		1993-01-07T00:00:00						Ricardo Schamalbach		0			
QCAZA10144		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Santo Domingo de los Tsáchilas	Desconocido	Desconocido	Toachi, 2 km al sur del Río Toachi	ECUADOR: Pichincha: Toachi, 2Km al sur del río Toachi. Mantenido en cautiverio terrario 5a  	Georreferenciación			WGS 84	-0.316593	-78.94996000000003		1996-01-28T00:00:00	1996-01-28T00:00:00					Néstor Acosta		0			
QCAZA10145		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Esmeraldas	Desconocido	Desconocido	Viche	ECUADOR: Esmeraldas: Viche. Mantenido en cautiverio terrario 2a Altitud: 100msnm - 	Georreferenciación	100	100	WGS 84	0.6615180	-79.53874		1995-01-02T00:00:00	1995-01-02T00:00:00					Ricardo Schmalverio		0			
QCAZA10146		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en cautiverio, encontrado muerto 25 de Septiembre de 1996 Altitud: 19msnm - 	Georreferenciación	19	19	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
QCAZA10147		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en cautiverio, encontrado muerto 25 de Septiembre de 1996 Altitud: 19msnm - 	Georreferenciación	19	19	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
QCAZA10148		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en cautiverio, encontrado muerto 25 de Septiembre de 1996 Altitud: 19msnm - 	Georreferenciación	19	19	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
QCAZA10149		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en cautiverio, encontrado muerto 25 de Septiembre de 1996 Altitud: 19msnm - 	Georreferenciación	19	19	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
QCAZA10150		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en cautiverio, encontrado muerto 25 de Septiembre de 1996 Altitud: 19msnm - 	Georreferenciación	19	19	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
